# ----------------------------------------
# Events for Claude
# Account: New Jersey
# Property: Business First Stop - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260309
Event name,Event count,Total users,Event count per active user,Total revenue
page_view,16827562,4493964,3.775365302125706,0
session_start,6795028,4695779,1.4629316814796411,0
user_engagement,5509095,2242970,2.505970283680588,0
all_elements_clicked,4838218,244985,19.752746602215247,0
onboarding_step,4650139,625249,7.454869728041656,0
first_visit,4498779,4466246,1.0072841934815056,0
scroll,2924176,1381538,2.1211645972532427,0
analytics_event,2373590,154513,15.367120077172583,0
user_update,2206793,183811,12.019962526008475,0
all_history_changes,2048297,156334,13.11027548068307,0
navigation_clicks,1856070,300815,6.170855774985039,0
Intercom_Triggered Message,1620855,894869,1.8359909064444402,0
form_submits,1579538,374863,4.213899263685839,0
Intercom_Viewed Message,1510952,599023,2.5453700084904516,0
link_clicks,888521,350869,2.5323439802319383,0
Triggered Message,803203,422279,1.9045567393123988,0
click_to_navigator,778018,552506,1.4083991506354847,0
click,743877,348928,2.1331519089704694,0
Viewed Message,583934,308145,1.9053731723154532,0
task_tab_continue_button_clicks,418089,68229,6.1280010553161555,0
account_clicks,372663,240627,1.548838775103072,0
Onboarding_AllSteps,371387,92123,4.03212567991575,0
license_certification_guide_clicks,361819,60671,5.963623477443919,0
task_tab_clicked,354393,129909,2.737365311087939,0
Onboarding_ClickTo,335600,72208,4.647684467095059,0
contextual_link_clicks,312351,103351,3.0225858581948732,0
view_search_results,257073,144169,1.7831735638083877,0
Intercom_Opened Messenger,245627,141662,1.7369969379601016,0
form_validation,244785,17698,13.875914063828581,0
Intercom_Sent a Reply,190450,59364,3.211906568850662,0
file_download,179025,102252,1.7515752191609268,0
site_return_callback,157631,98167,1.6061523099182817,0
task_manual_status_change,153182,39745,3.8564487298909897,0
Onboarding_Step1,119161,67007,1.7786020269564309,0
scroll_tracking,110943,74992,1.481135853892983,0
SignUp_Success_Guest,102412,72494,1.4126962231357079,0
Intercom_Closed Messenger,82654,59216,1.4022461997828448,0
call_to_action_clicks,63091,36582,1.726864650335295,0
navigator_phase_change,57595,50875,1.132088452088452,0
Opened Messenger,51213,30316,1.727834008097166,0
outbound_link_clicks,46182,26127,1.7678673965471041,0
Intercom_Started New Conversation,43488,40619,1.0718458087890963,0
graduation_phase_interactions,39296,21958,1.7895983240732307,0
Intercom_Provided Email Address,38958,36072,1.081145584725537,0
Sent a Reply,32338,11116,2.9818349469801753,0
SignUp_Success_Registration,31575,26688,1.1831160071942446,0
Closed Messenger,19239,15253,1.2982657399284703,0
tool_tip_mouseover,18511,10290,1.8022587868756694,0
task_search_interactions,5671,2674,2.1239700374531836,0
Provided Email Address,5641,5247,1.1004682013265705,0
form_edits,5277,3686,1.4316332067281605,0
task_tab_clicks,4677,1106,4.232579185520362,0
form_status,2906,553,5.25497287522604,0
Started New Conversation,2551,2376,1.0887750746905676,0
all_page_history_changes,39,1,39,0
form_start,38,33,1.1515151515151516,0
all_marketing_events,21,3,7,0
formation_page_loaded,20,1,20,0
profile_click,6,1,6,0
form_submit,3,2,1.5,0
industry_name,2,1,2,0
