# ----------------------------------------
# Pages for Claude
# Account: New Jersey
# Property: Business First Stop - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260309
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,4225374,2656095,1.5908218644287948,13.81893305774078,13708147,1,0
/onboarding,1554057,675369,2.3010487600111937,51.27481125133075,10086691,91154,0
/dashboard,1538644,508968,3.023066283145502,69.13588870027192,6033369,10,0
/pages/register-your-business,741224,515283,1.4384794375129784,31.897427239012348,2626833,0,0
/licensing-and-certification-guide,513328,189364,2.7108003633214337,70.09562007562155,1823391,0,0
/tasks/form-business-entity,492058,159009,3.094529240483243,392.31706381399795,4757382,0,0
/funding,478451,218604,2.188665349215934,50.95782785310424,1253714,0,0
/pages/government-contracting,396714,268602,1.4769584738758461,13.185367197563682,1220377,0,0
/login,380236,174699,2.1765207585618693,28.225771183578612,1544525,4,0
/loading,353556,159001,2.22360865654933,7.325438204791165,711569,0,0
/pages/filings-and-accounting,350974,236354,1.484950540291258,37.87148937610533,1314746,0,0
/tasks/business-structure,325455,197524,1.6476731941434966,39.76441850104291,872915,0,0
/profile,301812,125094,2.4126816633891313,82.42713479463444,1205372,0,0
/tasks/naics-code-determination,290403,152113,1.9091267676004022,53.3853122349832,965798,0,0
/pages/business-names,253202,174669,1.4496104059678592,28.95417045955493,905737,0,0
/search,242652,116872,2.0762201382709287,40.63354781299199,928067,0,0
/pages/closing-your-business,224391,119064,1.8846250755895988,67.58429920043002,839946,0,0
/start,209620,127988,1.6378097946682502,22.99927336937838,610504,0,0
/account-setup,199837,177465,1.1260642943679036,50.55417124503423,891869,0,0
/pages/register-for-taxes,177463,120914,1.4676795077493094,41.71030649883388,652095,0,0
/topics,165223,111340,1.4839500628704867,24.042204059637147,492876,0,0
/tasks/business-plan,146899,88872,1.6529278062831938,32.028704203798725,430187,0,0
/starter-kits,146345,115715,1.2647020697403102,25.805703668495873,477252,0,0
/tasks/tax-registration,139262,60208,2.31301488174329,133.15104305075738,588720,0,0
/pages/out-of-state-business-registration,130728,86812,1.5058747638575312,51.99892871953186,504947,0,0
/tasks/ein-registration,129543,67774,1.9113967007997168,86.18662023784933,417936,0,0
/category/start,123019,76976,1.5981474745375182,25.940384015797132,417263,0,0
/search-results,121543,77239,1.5735962402413288,26.93982314633799,375828,0,0
/pages/certifications,104054,59660,1.7441166610794503,41.47832718739524,363432,0,0
/recent,100022,61359,1.6301113121139523,43.68223080558679,280369,0,0
/pages/mwbe,92988,52653,1.7660532163409493,58.08584506106015,364069,0,0
/tasks/reseller,87553,51780,1.6908651989185013,33.2777327153341,199518,0,0
/pages/choose-a-business-structure,83944,62856,1.335497009036528,57.95860379279623,264150,0,0
/pages/covid19,79207,70169,1.1288033177043995,7.888996565434879,269923,0,0
/pages/create-a-business-plan,73575,50488,1.4572769767073364,73.41120662335605,223823,0,0
/operate,59388,40880,1.4527397260273973,22.753424657534246,157095,0,0
/tasks/register-for-taxes,57772,30223,1.9115243357707705,87.4169010356351,274398,0,0
/tasks/open-bank-account,57102,32309,1.7673713206846389,68.93651923612616,202076,0,0
/pages/employer-requirements,55593,42417,1.3106301718650541,51.11193625197444,203215,0,0
/plan,54899,39399,1.3934110002791948,23.17353232315541,141938,0,0
/navigator.business.nj.gov/,52590,31076,1.692302741665594,142.0687347148925,281021,0,0
/tasks/form-business-entity-foreign,52075,15642,3.32917785449431,333.92015087584707,435435,0,0
/navigator,46916,34132,1.3745458806984647,18.404459158560883,102581,0,0
/pages/finance-your-business,46293,36574,1.2657352217422213,26.72414830207251,168955,0,0
/pages/business-support,45315,35009,1.2943814447713444,27.011711274243766,163363,0,0
/mgmt/cms,43890,303,144.85148514851485,2400.6996699669967,133594,0,0
/actions/registry-update-brc-amendment,38591,27341,1.4114699535496142,68.0203357594821,157043,0,0
/pages/building-permits-and-inspections,38177,29618,1.28897967452225,33.84208927003849,161342,0,0
/contact-us,35992,27155,1.3254280979561774,57.78630086540232,158767,0,0
/starter-kits/food-truck,35618,26284,1.3551209861512707,50.63970476335413,145035,0,0
/pages/trademarks,34863,23997,1.452806600825103,37.93011626453307,130281,0,0
